front_id,middle_id,pcb,port,middle_x_mm,middle_y_mm,back_x_mm,back_y_mm
A185,L190,16,12,126.511111,150.0,119.153823,125.583506
A186,L191,16,6,147.596296,150.0,136.106995,141.428942
A187,L192,16,16,168.681481,150.0,153.060166,125.583506
A188,L193,17,2,189.766667,150.0,184.462063,141.428942
A189,L194,17,12,210.851852,150.0,201.415234,125.583506
A190,L195,17,7,231.937037,150.0,226.844991,141.428942
A191,L196,17,16,253.022222,150.0,235.321577,125.583506
A192,L197,18,3,274.107407,150.0,275.200059,141.428942
A193,L198,18,12,295.192593,150.0,283.676645,125.583506
A194,L201,11,12,-299.6,130.0,-292.153231,125.583506
A195,L202,11,14,-278.2,130.0,-275.200059,125.583506
A196,L203,11,16,-256.8,130.0,-258.246888,125.583506
A197,L204,12,10,-235.4,130.0,-226.844991,125.583506
A198,L205,12,12,-214.0,130.0,-209.89182,125.583506
A199,L206,12,15,-192.6,130.0,-184.462063,125.583506
A200,L207,12,16,-171.2,130.0,-175.985477,125.583506
A201,L208,13,10,-149.8,130.0,-144.58358,125.583506
A202,L209,13,12,-128.4,130.0,-127.630409,125.583506
A203,L210,13,15,-107.0,130.0,-102.200652,125.583506
A204,L211,14,9,-85.6,130.0,-70.798755,125.583506
A205,L212,14,10,-64.2,130.0,-62.32217,125.583506
A206,L213,14,12,-42.8,130.0,-45.368998,125.583506
A207,L214,14,15,-21.4,130.0,-19.939241,125.583506
A208,L215,14,16,0.0,130.0,-11.462656,125.583506
A209,L216,15,10,21.4,130.0,19.939241,125.583506
A210,L217,15,13,42.8,130.0,45.368998,125.583506
A211,L218,15,15,64.2,130.0,62.32217,125.583506
A212,L219,15,16,85.6,130.0,70.798755,125.583506
A213,L220,16,10,107.0,130.0,102.200652,125.583506
A214,L221,16,13,128.4,130.0,127.630409,125.583506
A215,L222,16,15,149.8,130.0,144.58358,125.583506
A216,L223,17,9,171.2,130.0,175.985477,125.583506
A217,L224,17,10,192.6,130.0,184.462063,125.583506
A218,L225,17,13,214.0,130.0,209.89182,125.583506
A219,L226,17,15,235.4,130.0,226.844991,125.583506
A220,L227,18,9,256.8,130.0,258.246888,125.583506
A221,L228,18,11,278.2,130.0,275.200059,125.583506
A222,L229,18,13,299.6,130.0,292.153231,125.583506
A223,L231,19,3,-321.0,110.0,-300.629816,52.424793
A224,L232,19,5,-300.9375,110.0,-283.676645,52.424793
A225,L233,19,8,-280.875,110.0,-258.246888,52.424793
A226,L234,11,15,-260.8125,110.0,-266.723474,125.583506
A227,L235,20,5,-240.75,110.0,-201.415234,52.424793
A228,L236,20,7,-220.6875,110.0,-184.462063,52.424793
A229,L237,12,14,-200.625,110.0,-192.938648,125.583506
A230,L238,21,2,-180.5625,110.0,-144.58358,52.424793
A231,L239,21,5,-160.5,110.0,-119.153823,52.424793
A232,L240,13,11,-140.4375,110.0,-136.106995,125.583506
A233,L241,13,14,-120.375,110.0,-110.677238,125.583506
A234,L242,13,16,-100.3125,110.0,-93.724066,125.583506
A235,L243,22,4,-80.25,110.0,-45.368998,52.424793
A236,L244,14,11,-60.1875,110.0,-53.845584,125.583506
A237,L245,14,13,-40.125,110.0,-36.892413,125.583506
A238,L246,22,7,-20.0625,110.0,-19.939241,52.424793
A239,L247,22,16,0.0,110.0,-11.462656,36.579357
A240,L248,23,2,20.0625,110.0,19.939241,52.424793
A241,L249,15,12,40.125,110.0,36.892413,125.583506
A242,L250,23,11,60.1875,110.0,28.415827,36.579357
A243,L251,23,5,80.25,110.0,45.368998,52.424793
A244,L252,16,9,100.3125,110.0,93.724066,125.583506
A245,L253,16,11,120.375,110.0,110.677238,125.583506
A246,L254,16,14,140.4375,110.0,136.106995,125.583506
